,Observer,Date,Time Start,Time End,Distance (km),Urban/Rural,Weather,Other info,N (Dogs),N (Cats),Total Dogs and Cats,Cat to Dog Ratio (CDR),Dogs per km,Cats per km
,,,,,(rough estimate if you don't track it with gps),"If most of the activity was done in a park, put Urban (Park) !",,,,,,The thing that matters,,
Week 1,Phil,24/3/2020,17:40:00,18:50:00,4,Park,Sunny,,15,0,15,0,3.75,0
,Chris,24/3/2020,17:30:00,18:30:00,3,Park,Sunny,,12,0,12,0,4,0
,John P,24/3/2020,21:00:00,21:30:00,1.5,Urban,Cloudy,,0,1,1,#DIV/0!,0,0.6666666667
,Dashers,25/3/2020,11:40:00,12:10:00,5.5,Urban,Sunny,,4,0,4,0,0.7272727273,0
,Phil,25/3/2020,16:14:00,17:03:00,10.4,Urban,Sunny,Shuttles on a 250m stretch,4,0,4,0,0.3846153846,0
,Chris,25/3/2020,17:30:00,18:30:00,3,Park,Sunny,Soton Common,30,0,30,0,10,0
,Dashers,26/3/2020,14:30:00,14:55:00,5,Urban,Sunny,Crown (jealous Phil?),5,2,7,0.4,1,0.4
,Em,26/3/2020,11:30:00,12:15:00,5,Park,Sunny,,26,0,26,0,5.2,0
,Phil ,26/3/2020,17:42:00,18:35:00,12.5,Urban + Park,Sunny,No crown but one trophy,23,3,26,0.1304347826,1.84,0.24
,Chris,26/3/2020,15:52:00,16:11:00,3.55,Park,Sunny,,3,0,3,0,0.8450704225,0
,Phil and Em,27/3/2020,18:15:00,19:15:00,4.22,Urban + Park,Sunny,"Sunset, cold",1,1,2,1,0.2369668246,0.2369668246
,Dashers,28/3/2020,9:25:00,9:55:00,5.5,Urban,Sunny,A second crown...,3,0,3,0,0.5454545455,0
,Phil,28/3/2020,12:05:00,13:15:00,10.11,Woodland + Park,Sunny,Almost all dogs seen in the Park section. My personal record,36,0,36,0,3.560830861,0
,Dashers,29/3/2020,10:05:00,10:40:00,6,Urban,Blustery,"Clocks change, but my crown winning ways don't",3,0,3,0,0.5,0
,Phil,29/3/2020,15:00:00,16:00:00,8.5,Urban,Blustery,Crowntastic <3,7,1,8,0.1428571429,0.8235294118,0.1176470588
,Phil,30/3/2020,18:23:00,19:10:00,5.5,Urban,Overcast,Crowned Again,14,1,15,0.07142857143,2.545454545,0.1818181818
Week 2,Phil,31/3/2020,19:00:00,19:32:00,7.1,Woodland,Sunny,Dusk,5,0,5,0,0.7042253521,0
,Dashers,01/4/2020,12:00:00,12:30:00,6,Urban,Sunny,King of the Flowers,2,1,3,0.5,0.3333333333,0.1666666667
,Phil,01/4/2020,19:30:00,21:00:00,16.09,Urban,Overcast,Twilight into night,9,3,12,0.3333333333,0.5593536358,0.1864512119
,John P,02/4/2020,8:30:00,9:00:00,2,Urban,Overcast,Biking to the Shops,0,3,3,#DIV/0!,0,1.5
,Phil and Em,02/4/2020,18:29:00,19:01:00,5.1,Urban + Park,Overcast,,12,1,13,0.08333333333,2.352941176,0.1960784314
,Phil,04/4/2020,18:58:00,19:24:00,5.56,Urban + Park,Overcast,Flooffy cats.,8,3,11,0.375,1.438848921,0.5395683453
,Phil and Em,04/4/2020,17:30:00,18:20:00,4.1,Woodland + Park,Sunny,,19,1,20,0.05263157895,4.634146341,0.243902439
,Phil,05/4/2020,9:37:00,14:00:00,37.18,Rural,Sunny,"Many alpacas, cows, sheep, even an Okapi, but no cats.",70,,70,0,1.882732652,0
,Em,06/4/2020,19:30:00,20:05:00,5,Urban,Overcast,,3,1,4,0.3333333333,0.6,0.2
Week 3,Phil and Em,07/4/2020,18:50:00,19:50:00,4,Woodland + Park,Overcast,,7,2,9,0.2857142857,1.75,0.5
,Phil,08/4/2020,18:40:00,19:10:00,5.2,Urban + Park,Sunny,,8,2,10,0.25,1.538461538,0.3846153846
,Phil & Em,09/4/2020,18:53:00,19:35:00,5.1,Park,Sunny,,18,0,18,0,3.529411765,0
,Phil,10/4/2020,18:08:00,18:54:00,10.3,Urban,Sunny,Saw a snake,21,1,22,0.04761904762,2.038834951,0.09708737864
,Phil,11/4/2020,18:19:00,18:52:00,6.58,Urban + Park,Sunny,,27,1,28,0.03703703704,4.103343465,0.1519756839
,Phil ,12/4/2020,16:54:00,17:45:00,7.66,Urban,Sunny,NINE,18,9,27,0.5,2.349869452,1.174934726
,Em,13/4/2020,12:57:00,13:20:00,3,Urban ,Sunny,,5,0,5,0,1.666666667,0
Week 4,Phil,14/4/2020,19:30:00,20:40:00,15,Urban,Sunny,,17,3,20,0.1764705882,1.133333333,0.2
,Em,14/4/2020,19:30:00,20:10:00,5.4,Urban,Sunny,,7,0,7,0,1.296296296,0
,Miika,15/4/2020,17:30:00,18:10:00,4.5,Field,Sunny, 12 deer and  5 pheasants,2,0,2,0,0.4444444444,0
,Phil,15/4/2020,18:53:00,19:29:00,7.02,Woodland,Sunny,,10,1,11,0.1,1.424501425,0.1424501425
,Phil & Em,16/4/2020,18:40:00,19:20:00,4,Woodland + Park,Sunny,,11,0,11,0,2.75,0
,Lisa,18/4/2020,11:15:00,12:37:00,6.5,Rural,Overcast,"Itchen Trail and Woodland, 20+ cows, 1 swan",14,0,14,0,2.153846154,0
,Phil & Em,17/4/2020,18:16:00,19:10:00,5,Urban,Overcast,,9,1,10,0.1111111111,1.8,0.2
,Phil,17/4/2020,19:10:00,19:30:00,4.5,Urban,Overcast,,7,0,7,0,1.555555556,0
,Phil,18/4/2020,15:54:00,16:54:00,13.25,Urban,Overcast,Post box challenge,37,1,38,0.02702702703,2.79245283,0.07547169811
,Em,19/4/2020,9:59:00,10:32:00,5,Park,Sunny,,32,0,32,0,6.4,0
